DominantCycle,DominantCycleAmplitude
0.88914,19.0398
0.88914,19.2267
0.955476,19.5243
0.955476,19.9036
0.955476,19.4862
0.955476,18.9703
0.955476,18.6348
0.955476,18.5395
0.955476,18.6669
0.955476,19.0489
0.955476,19.5362
0.955476,19.7925
0.955476,19.7197
0.955476,19.6265
0.955476,19.8721
0.955476,20.1539
0.955476,20.3331
0.955476,20.4775
0.955476,21.0493
0.955476,21.2757
0.955476,20.4958
0.955476,19.9288
0.955476,19.8641
0.955476,20.0657
0.955476,19.8419
0.955476,19.1268
0.955476,18.6435
0.955476,18.9229
0.955476,19.3348
0.955476,19.2673
0.88914,18.9974
0.88914,19.0112
0.88914,19.1664
0.88914,19.1133
0.88914,18.5196
0.88914,18.1321
0.88914,18.1193
0.88914,17.9617
0.88914,17.9209
0.88914,18.333
0.88914,18.4872
0.88914,18.5877
0.88914,18.4814
0.88914,18.4554
0.88914,18.7038
0.88914,18.5645
0.88914,18.6057
0.88914,18.8215
0.88914,18.8454
0.88914,18.7779
0.88914,18.5036
0.88914,17.7398
0.88914,16.5418
0.88914,16.8205
0.88914,17.9884
0.88914,17.4726
0.88914,17.0119
0.88914,17.8708
0.88914,18.5189
0.955476,18.5479
0.955476,18.6857
0.955476,18.8483
0.955476,18.8655
0.955476,19.2667
0.955476,19.3389
0.88914,18.854
0.88914,18.6233
0.88914,18.0793
0.88914,16.7119
0.88914,15.5767
0.955476,16.647
0.955476,18.0255
0.955476,18.2175
0.955476,17.6813
0.955476,17.4794
0.955476,18.0669
0.955476,18.9388
0.955476,19.2644
0.955476,19.3024
0.955476,20.0037
0.955476,20.6814
0.955476,20.4335
0.955476,19.5729
0.955476,19.2139
0.955476,19.47
0.955476,19.3877
0.955476,19.0942
0.955476,18.8746
0.955476,18.7806
0.955476,18.5956
0.955476,18.4605
0.955476,18.636
0.955476,18.9024
0.955476,18.7944
0.955476,18.9783
0.955476,19.487
0.955476,19.5543
0.955476,19.1616
0.955476,18.313
0.955476,17.3857
0.955476,17.6143
0.955476,18.5628
0.955476,19.0802
0.955476,19.107
0.955476,18.9941
0.955476,18.6852
0.955476,18.1088
0.955476,18.1678
0.955476,18.2099
0.955476,17.7096
0.955476,18.1425
0.955476,18.7569
0.955476,18.8594
0.955476,18.8023
0.955476,18.5128
0.955476,18.6081
0.955476,18.6111
0.955476,18.4123
0.955476,18.3565
0.955476,18.2956
0.955476,18.2765
0.955476,18.3511
0.955476,18.7186
0.955476,18.6617
0.955476,18.2133
0.955476,18.072
0.955476,18.1132
0.955476,17.9274
0.955476,18.1391
0.955476,18.867
0.955476,18.9007
0.955476,17.8956
0.955476,17.1326
0.955476,16.9344
